"1",125,125,1,1,125,125,1,1,125,125,1,1,125,125,1,1,125,125,1,1,125,125,1,1,125,125,1,1,125,125,1,1,125,125,1,1,125,125,1,1
"2",57,468,8.2105,1,57,468,8.2105,1,57,468,8.2105,1,57,468,8.2105,1,57,468,8.2105,1,57,468,8.2105,1,57,468,8.2105,1,57,468,8.2105,1,57,468,8.2105,1,57,468,8.2105,1
"3",33,230,6.9696,1,33,230,6.9696,1,33,230,6.9696,1,33,230,6.9696,1,33,230,6.9696,1,33,230,6.9696,1,33,230,6.9696,1,33,230,6.9696,1,33,230,6.9696,1,33,230,6.9696,1
"4",60,468,7.8,1,60,468,7.8,1,60,468,7.8,1,60,468,7.8,1,60,468,7.8,1,60,468,7.8,1,60,468,7.8,1,60,468,7.8,1,60,468,7.8,1,60,468,7.8,1
"5",60,468,7.8,1,60,468,7.8,1,60,468,7.8,1,60,468,7.8,1,60,468,7.8,1,60,468,7.8,1,60,468,7.8,1,60,468,7.8,1,60,468,7.8,1,60,468,7.8,1
"6",60,468,7.8,1,60,468,7.8,1,60,468,7.8,1,60,468,7.8,1,60,468,7.8,1,60,468,7.8,1,60,468,7.8,1,60,468,7.8,1,60,468,7.8,1,60,468,7.8,1
"7",59,460,7.7966,1,59,460,7.7966,1,59,460,7.7966,1,59,460,7.7966,1,59,460,7.7966,1,59,460,7.7966,1,59,460,7.7966,1,59,460,7.7966,1,59,460,7.7966,1,59,460,7.7966,1
"8",60,234,3.9,1,60,234,3.9,1,60,234,3.9,1,60,234,3.9,1,60,234,3.9,1,60,234,3.9,1,60,234,3.9,1,60,234,3.9,1,60,234,3.9,1,60,234,3.9,1
"9",60,468,7.8,1,60,468,7.8,1,60,468,7.8,1,60,468,7.8,1,60,468,7.8,1,60,468,7.8,1,60,468,7.8,1,60,468,7.8,1,60,468,7.8,1,60,468,7.8,1
"10",60,468,7.8,1,60,468,7.8,1,60,468,7.8,1,60,468,7.8,1,60,468,7.8,1,60,468,7.8,1,60,468,7.8,1,60,468,7.8,1,60,468,7.8,1,60,468,7.8,1
"11",49,119,2.4285,1,49,119,2.4285,1,49,119,2.4285,1,49,119,2.4285,1,49,119,2.4285,1,49,119,2.4285,1,49,119,2.4285,1,49,119,2.4285,1,49,119,2.4285,1,49,119,2.4285,1
"12",90,52,0.5777,1,90,52,0.5777,1,90,52,0.5777,1,90,52,0.5777,1,90,52,0.5777,1,90,52,0.5777,1,90,52,0.5777,1,90,52,0.5777,1,90,52,0.5777,1,90,52,0.5777,1
"13",90,60,0.6666,1,90,60,0.6666,1,90,60,0.6666,1,90,60,0.6666,1,90,60,0.6666,1,90,60,0.6666,1,90,60,0.6666,1,90,60,0.6666,1,90,60,0.6666,1,90,60,0.6666,1
"14",90,60,0.6666,1,90,60,0.6666,1,90,60,0.6666,1,90,60,0.6666,1,90,60,0.6666,1,90,60,0.6666,1,90,60,0.6666,1,90,60,0.6666,1,90,60,0.6666,1,90,60,0.6666,1
